,date,cell_num,nr_people,hours,minutes
131,2017-04-16,493-1264,24.0,0.0,0.0
352,2017-04-16,493-1264,24.0,0.0,15.0
573,2017-04-16,493-1264,23.0,0.0,30.0
794,2017-04-16,493-1264,23.0,0.0,45.0
1015,2017-04-16,493-1264,22.0,1.0,0.0
1236,2017-04-16,493-1264,22.0,1.0,15.0
1457,2017-04-16,493-1264,21.0,1.0,30.0
1678,2017-04-16,493-1264,21.0,1.0,45.0
1899,2017-04-16,493-1264,21.0,2.0,0.0
2120,2017-04-16,493-1264,20.0,2.0,15.0
2341,2017-04-16,493-1264,20.0,2.0,30.0
2562,2017-04-16,493-1264,19.0,2.0,45.0
2783,2017-04-16,493-1264,19.0,3.0,0.0
3004,2017-04-16,493-1264,19.0,3.0,15.0
3225,2017-04-16,493-1264,18.0,3.0,30.0
3446,2017-04-16,493-1264,18.0,3.0,45.0
3667,2017-04-16,493-1264,18.0,4.0,0.0
3888,2017-04-16,493-1264,18.0,4.0,15.0
4109,2017-04-16,493-1264,18.0,4.0,30.0
4330,2017-04-16,493-1264,19.0,4.0,45.0
4551,2017-04-16,493-1264,19.0,5.0,0.0
4772,2017-04-16,493-1264,19.0,5.0,15.0
4993,2017-04-16,493-1264,20.0,5.0,30.0
5214,2017-04-16,493-1264,20.0,5.0,45.0
5435,2017-04-16,493-1264,20.0,6.0,0.0
5656,2017-04-16,493-1264,20.0,6.0,15.0
5877,2017-04-16,493-1264,19.0,6.0,30.0
6098,2017-04-16,493-1264,19.0,6.0,45.0
6319,2017-04-16,493-1264,19.0,7.0,0.0
6540,2017-04-16,493-1264,19.0,7.0,15.0
6761,2017-04-16,493-1264,20.0,7.0,30.0
6982,2017-04-16,493-1264,20.0,7.0,45.0
7203,2017-04-16,493-1264,20.0,8.0,0.0
7424,2017-04-16,493-1264,20.0,8.0,15.0
7645,2017-04-16,493-1264,20.0,8.0,30.0
7866,2017-04-16,493-1264,21.0,8.0,45.0
8087,2017-04-16,493-1264,22.0,9.0,0.0
8308,2017-04-16,493-1264,22.0,9.0,15.0
8529,2017-04-16,493-1264,22.0,9.0,30.0
8750,2017-04-16,493-1264,24.0,9.0,45.0
8971,2017-04-16,493-1264,24.0,10.0,0.0
9192,2017-04-16,493-1264,25.0,10.0,15.0
9413,2017-04-16,493-1264,25.0,10.0,30.0
9634,2017-04-16,493-1264,25.0,10.0,45.0
9855,2017-04-16,493-1264,25.0,11.0,0.0
10076,2017-04-16,493-1264,26.0,11.0,15.0
10297,2017-04-16,493-1264,26.0,11.0,30.0
10518,2017-04-16,493-1264,27.0,11.0,45.0
10739,2017-04-16,493-1264,28.0,12.0,0.0
10960,2017-04-16,493-1264,28.0,12.0,15.0
11181,2017-04-16,493-1264,27.0,12.0,30.0
11402,2017-04-16,493-1264,27.0,12.0,45.0
11623,2017-04-16,493-1264,27.0,13.0,0.0
11844,2017-04-16,493-1264,27.0,13.0,15.0
12065,2017-04-16,493-1264,27.0,13.0,30.0
12286,2017-04-16,493-1264,27.0,13.0,45.0
12507,2017-04-16,493-1264,27.0,14.0,0.0
12728,2017-04-16,493-1264,27.0,14.0,15.0
12949,2017-04-16,493-1264,27.0,14.0,30.0
13170,2017-04-16,493-1264,26.0,14.0,45.0
13391,2017-04-16,493-1264,28.0,15.0,0.0
13612,2017-04-16,493-1264,27.0,15.0,15.0
13833,2017-04-16,493-1264,27.0,15.0,30.0
14054,2017-04-16,493-1264,27.0,15.0,45.0
14275,2017-04-16,493-1264,27.0,16.0,0.0
14496,2017-04-16,493-1264,28.0,16.0,15.0
14717,2017-04-16,493-1264,28.0,16.0,30.0
14938,2017-04-16,493-1264,28.0,16.0,45.0
15159,2017-04-16,493-1264,29.0,17.0,0.0
15380,2017-04-16,493-1264,29.0,17.0,15.0
15601,2017-04-16,493-1264,29.0,17.0,30.0
15822,2017-04-16,493-1264,30.0,17.0,45.0
16043,2017-04-16,493-1264,30.0,18.0,0.0
16264,2017-04-16,493-1264,30.0,18.0,15.0
16485,2017-04-16,493-1264,30.0,18.0,30.0
16706,2017-04-16,493-1264,29.0,18.0,45.0
16927,2017-04-16,493-1264,30.0,19.0,0.0
17148,2017-04-16,493-1264,30.0,19.0,15.0
17369,2017-04-16,493-1264,30.0,19.0,30.0
17590,2017-04-16,493-1264,30.0,19.0,45.0
17811,2017-04-16,493-1264,29.0,20.0,0.0
18032,2017-04-16,493-1264,29.0,20.0,15.0
18253,2017-04-16,493-1264,28.0,20.0,30.0
18474,2017-04-16,493-1264,28.0,20.0,45.0
18695,2017-04-16,493-1264,28.0,21.0,0.0
18916,2017-04-16,493-1264,26.0,21.0,15.0
19137,2017-04-16,493-1264,26.0,21.0,30.0
19358,2017-04-16,493-1264,25.0,21.0,45.0
19579,2017-04-16,493-1264,25.0,22.0,0.0
19800,2017-04-16,493-1264,25.0,22.0,15.0
20021,2017-04-16,493-1264,25.0,22.0,30.0
20242,2017-04-16,493-1264,25.0,22.0,45.0
